,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea
30,LOT,0.07998163452708908,27529,375000,,-78.61865,35.682716,331655653,,
31,LOT,0.38999081726354,27539,676500,,-78.76409,35.68526,331655752,,
32,LOT,0.05,27526,352500,,-78.80712,35.569454,331656889,,
33,LOT,0.36999540863177,27562,879000,,-78.89296,35.62668,336860447,,
34,SINGLE_FAMILY,0.13999999999999999,27597,400000,3.0,-78.32762,35.846954,336860671,3.0,2300.0
35,LOT,1.7699954086318,27587,781000,,-78.40052,35.93462,336860835,,
36,LOT,0.2099862258953168,27540,721500,,-78.884834,35.65168,336866248,,
37,SINGLE_FAMILY,0.029981634527089074,27545,392000,3.0,-78.50116,35.794865,336866526,3.0,2311.0
38,LOT,0.06999540863177227,27616,590500,,-78.53535,35.847565,336867807,,
39,LOT,0.05,27560,468000,,-78.830925,35.83173,336868020,,
0,SINGLE_FAMILY,0.15,27616,441000,3.0,-78.546776,35.887524,60538281,3.0,2294.0
1,SINGLE_FAMILY,0.71,27571,440000,4.0,-78.4576,35.93771,60539029,3.0,2538.0
2,SINGLE_FAMILY,2.25,27603,350000,3.0,-78.68856,35.68883,6376784,3.0,1539.0
3,SINGLE_FAMILY,0.46999540863177,27529,280000,,-78.61738,35.72977,6379619,2.0,1408.0
4,LOT,0.38,27529,164500,,-78.62319,35.716484,6379831,,
5,SINGLE_FAMILY,0.28,27529,265000,3.0,-78.61351,35.709263,6384076,1.0,1007.0
6,SINGLE_FAMILY,0.41,27529,170000,2.0,-78.622856,35.71999,6387470,1.0,1200.0
7,SINGLE_FAMILY,0.2,27603,312000,2.0,-78.64154,35.74563,6406616,1.0,835.0
8,SINGLE_FAMILY,0.56,27612,660000,4.0,-78.6999,35.860535,6408670,4.0,3010.0
9,SINGLE_FAMILY,0.21000000000000002,27610,300000,2.0,-78.61032,35.790524,6412926,1.0,937.0
10,LOT,1.3,27529,75000,,-78.57956,35.73617,6414181,,
11,SINGLE_FAMILY,0.3,27609,845000,3.0,-78.65138,35.845963,6424861,2.0,2312.0
12,LOT,147.26,27587,32740000,,-78.49403,36.00179,6431615,,
13,SINGLE_FAMILY,0.16999999999999998,27591,230000,3.0,-78.37135,35.78824,6432989,1.0,960.0
14,SINGLE_FAMILY,0.81,27609,1300000,3.0,-78.64728,35.816917,6447070,3.0,3001.0
15,MANUFACTURED,0.46,27526,105000,3.0,-78.725685,35.61829,6458148,2.0,1188.0
16,LOT,0.46,27529,177000,,-78.62334,35.716698,6463820,,
17,SINGLE_FAMILY,0.88,27615,975000,5.0,-78.66447,35.903847,6468487,4.0,4100.0
18,SINGLE_FAMILY,0.29,27615,835000,6.0,-78.63924,35.889202,6468806,4.0,3693.0
19,TOWNHOUSE,0.03,27615,265000,2.0,-78.64353,35.887417,6471507,2.0,1277.0
20,SINGLE_FAMILY,1.0,27545,239500,3.0,-78.47624,35.818184,6484424,2.0,1250.0
21,TOWNHOUSE,0.03,27604,265000,2.0,-78.58176,35.840878,6490029,3.0,1263.0
22,SINGLE_FAMILY,0.71,27587,415000,3.0,-78.52075,35.892918,6493520,3.0,1755.0
23,SINGLE_FAMILY,0.25,27613,365000,3.0,-78.70969,35.867783,6493587,2.0,1482.0
24,SINGLE_FAMILY,1.0,27523,625000,3.0,-78.84268,35.75258,6498568,2.0,2324.0
25,TOWNHOUSE,0.04,27615,415000,3.0,-78.67304,35.888012,6499813,4.0,2112.0
26,SINGLE_FAMILY,2.52,27592,365000,3.0,-78.712776,35.585518,6500648,2.0,1500.0
27,SINGLE_FAMILY,2.074,27526,725000,3.0,-78.76922,35.572098,6518331,3.0,3008.0
28,SINGLE_FAMILY,0.21000000000000002,27513,630000,3.0,-78.83431,35.785473,6521446,3.0,2058.0
29,SINGLE_FAMILY,0.23999081726354454,27526,351000,3.0,-78.798294,35.573975,6526062,2.5,1400.0
30,SINGLE_FAMILY,0.16999540863177226,27616,463500,,-78.52286,35.874565,65333723,2.5,2112.0
31,SINGLE_FAMILY,0.11999540863177227,27519,425000,,-78.84913,35.774834,6535363,2.5,1558.0
32,SINGLE_FAMILY,0.81,27513,1315000,5.0,-78.84077,35.78804,6543491,5.0,4383.0
33,SINGLE_FAMILY,0.25,27603,448000,3.0,-78.67021,35.74183,6555047,3.0,1863.0
34,SINGLE_FAMILY,0.22000000000000003,27612,473000,3.0,-78.72889,35.870907,6557635,2.0,1471.0
35,SINGLE_FAMILY,0.16999999999999998,27617,501000,3.0,-78.73074,35.90688,6557646,3.0,1740.0
36,SINGLE_FAMILY,0.96,27615,833250,4.0,-78.68411,35.936447,6559990,3.0,3658.0
37,SINGLE_FAMILY,0.16999999999999998,27502,501000,4.0,-78.910995,35.722504,6562940,2.0,1808.0
38,SINGLE_FAMILY,0.27998163452709,27610,120000,3.0,-78.54294,35.74717,6563703,2.0,1498.0
39,TOWNHOUSE,0.03,27513,340000,3.0,-78.78759,35.79343,67555524,3.0,1401.0
0,MULTI_FAMILY,,27606,97000,1.0,-78.74132,35.77597,132157059,1.0,820.0
1,TOWNHOUSE,0.09,27539,525000,4.0,-78.81384,35.67248,133699029,3.0,2659.0
2,SINGLE_FAMILY,0.19,27545,450000,5.0,-78.50553,35.757027,133703605,3.0,2837.0
3,CONDO,0.0,27519,330000,2.0,,,2062730883,3.0,1357.0
4,CONDO,0.0,27603,850000,2.0,,,2063231777,3.0,1464.0
5,SINGLE_FAMILY,0.15,27591,695000,4.0,,,2064141733,3.0,3233.0
6,CONDO,0.0,27511,195000,2.0,,,2065067827,1.0,730.0
7,SINGLE_FAMILY,0.192,27526,535516,5.0,,,2065772146,3.0,2886.0
8,TOWNHOUSE,0.03,27545,390951,3.0,,,2066579620,4.0,2342.0
9,SINGLE_FAMILY,0.16999999999999998,27529,586470,4.0,,,2066870760,4.0,3173.0
10,SINGLE_FAMILY,,27616,470000,3.0,,,2067056547,3.0,2025.0
11,LOT,0.1,27529,10000,,,,2070801703,,
12,CONDO,0.0,27560,302500,2.0,,,2093275144,2.0,1198.0
13,SINGLE_FAMILY,0.24,27502,1050000,4.0,-78.904526,35.70838,248748361,5.0,3552.0
14,TOWNHOUSE,0.07300000000000001,27539,448500,3.0,-78.80745,35.6704,248750765,3.0,1950.0
15,SINGLE_FAMILY,0.36,27526,650000,5.0,-78.77866,35.629856,248751046,3.0,2919.0
16,SINGLE_FAMILY,0.13999999999999999,27591,390000,2.0,-78.42811,35.76265,248756500,2.0,1670.0
17,SINGLE_FAMILY,0.11000000000000001,27523,575000,3.0,-78.92706,35.73302,331653999,3.0,1902.0
18,LOT,24.35,27587,19768132,,-78.49652,35.999115,333944228,,
19,LOT,0.2,27610,451000,,-78.543434,35.702396,336868604,,
20,SINGLE_FAMILY,0.029981634527089074,27545,391000,3.0,-78.50116,35.794804,336868985,3.0,2342.0
21,LOT,0.27998163452709,27587,483000,,-78.46012,35.957962,336869539,,
22,LOT,37.95,27587,9203161,,-78.49854,36.002277,50097992,,
23,LOT,1.8,27529,268500,,-78.622696,35.716595,50098158,,
24,SINGLE_FAMILY,0.15,27513,495000,3.0,-78.777885,35.79995,50100554,3.0,2001.0
25,SINGLE_FAMILY,0.25,27523,625000,4.0,-78.88579,35.75779,50110011,3.0,2620.0
26,SINGLE_FAMILY,0.16999540863177226,27615,417500,,-78.57287,35.892555,50110732,2.5,1926.0
27,SINGLE_FAMILY,0.13999999999999999,27616,320000,3.0,-78.56781,35.855083,50111098,3.0,1408.0
28,SINGLE_FAMILY,0.22999999999999998,27597,257200,3.0,-78.33596,35.831097,50112355,2.0,1133.0
