,lotAreaValue,address,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,CONDO,LOT,SINGLE_FAMILY,TOWNHOUSE,price
211,0.3,27609,3.0,-78.65138,35.845963,6424861,2.0,2312.0,0,0,1,0,845000
622,0.0,27603,3.0,-78.68429,35.750446,132183632,2.0,1192.0,1,0,0,0,248800
480,0.27,27529,3.0,-78.61207,35.708176,89496199,2.0,1479.0,0,0,1,0,215000
378,1.0,27587,6.0,-78.47449,35.979214,122065955,6.0,5028.0,0,0,1,0,1000000
30,0.02,27502,3.0,-78.87553,35.742355,68317982,3.0,1452.0,0,0,0,1,325000
961,0.05,27560,3.0,-78.85001,35.848618,120874386,3.0,1733.0,0,0,0,1,415000
887,0.35,27518,4.0,-78.805466,35.711674,6560007,3.0,2923.0,0,0,1,0,775000
65,0.16,27539,4.0,-78.82793,35.68371,50109619,3.0,1840.0,0,0,1,0,425000
153,0.29,27511,3.0,-78.76786,35.786552,6442221,2.0,1463.0,0,0,1,0,504500
548,0.2299999999999999,27540,4.0,-78.82176,35.644897,67553096,3.0,1811.0,0,0,1,0,452000
431,1.1,27539,3.0,-78.737206,35.656326,6459128,2.0,1406.0,0,0,1,0,309500
957,1.86,27614,3.0,-78.68356,35.968655,6527230,3.0,2197.0,0,0,1,0,600000
828,0.05,27502,3.0,-78.83607,35.72814,305118204,4.0,1850.0,0,0,0,1,432500
456,2.3,27587,3.0,-78.63784,36.040905,6556555,3.0,2637.0,0,0,1,0,540000
781,0.06,27617,3.0,-78.74219,35.88891,81436000,3.0,1776.0,0,0,0,1,400000
698,0.38,27526,5.0,-78.779976,35.567932,125166122,3.0,3210.0,0,0,1,0,555000
988,0.1,27604,3.0,-78.57107,35.802372,50106727,2.0,1081.0,0,0,1,0,328500
833,0.1699999999999999,27540,4.0,-78.86832,35.632492,50120783,3.0,3274.0,0,0,1,0,505000
944,0.34,27529,3.0,-78.63733,35.706184,6460243,2.0,1282.0,0,0,1,0,350000
360,0.04,27545,2.0,-78.49709,35.795128,6511433,1.0,934.0,0,0,0,1,231000
722,0.15,27616,4.0,-78.512054,35.90357,248748569,3.0,2464.0,0,0,1,0,470000
187,0.0699999999999999,27539,3.0,-78.80717,35.670372,215484821,3.0,1902.0,0,0,0,1,435000
733,0.13,27540,3.0,-78.79356,35.656796,50120685,3.0,2056.0,0,0,0,1,395000
739,0.3,27511,4.0,-78.7896,35.785656,6405219,4.0,3566.0,0,0,1,0,1250000
945,4.17,27591,3.0,-78.41734,35.77389,6461583,2.0,2128.0,0,0,1,0,525000
600,0.7,27592,3.0,-78.68457,35.591465,68317447,3.0,1689.0,0,0,1,0,380000
950,0.05,27520,3.0,-78.50127,35.680096,6500305,2.0,1430.0,0,0,0,1,280000
59,0.1399999999999999,27502,3.0,-78.9438,35.739784,305127325,3.0,2276.0,0,0,0,1,531000
194,0.1399999999999999,27597,3.0,-78.32762,35.846954,336860671,3.0,2300.0,0,0,1,0,400000
575,0.24,27519,4.0,-78.876976,35.798584,248750674,3.0,3032.0,0,0,1,0,865000
383,1.3799816345271,27592,3.0,-78.68121,35.599037,132346802,2.5,2690.0,0,0,1,0,509000
922,0.27,27526,3.0,-78.76697,35.583412,60393452,3.0,1554.0,0,0,1,0,357000
863,0.22,27545,3.0,-78.50957,35.78879,6505821,3.0,1552.0,0,0,1,0,381000
58,0.19,27519,4.0,-78.84411,35.765438,305124135,5.0,4041.0,0,0,1,0,980000
661,0.22,27513,3.0,-78.77287,35.798462,6481893,3.0,1467.0,0,0,1,0,350000
778,0.04,27606,3.0,-78.71231,35.78791,70488014,3.0,1500.0,0,0,0,1,317500
418,0.35,27511,3.0,-78.77386,35.784668,6384322,2.0,1452.0,0,0,1,0,410000
471,0.0,27540,2.0,-78.8098,35.658375,131707981,2.0,922.0,1,0,0,0,265000
