,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,SB_ID
21,TOWNHOUSE,0.1,27519,497070,4,,,2063168027,4,1970,285
22,TOWNHOUSE,0.069,27529,374843,3,,,2064080001,3,1916,286
23,TOWNHOUSE,0.03,27545,391827,3,,,2066579761,4,2311,287
24,SINGLE_FAMILY,0.31,27571,530000,4,,,2066689029,4,2474,288
25,SINGLE_FAMILY,0.39,27539,676115,5,,,2067371439,4,2974,289
26,TOWNHOUSE,0.044,27610,310500,3,,,2067948059,3,1573,290
27,TOWNHOUSE,0.07,27539,435000,3,-78.80717,35.670372,215484821,3,1902,291
28,SINGLE_FAMILY,0.11,27502,575000,3,-78.92262,35.703983,248749225,3,2244,292
29,SINGLE_FAMILY,0.15,27587,590000,3,-78.48154,35.98895,248755438,4,2853,293
30,LOT,0.079981635,27529,375000,,-78.61865,35.682716,331655653,,,294
31,LOT,0.389990817,27539,676500,,-78.76409,35.68526,331655752,,,295
32,LOT,0.05,27526,352500,,-78.80712,35.569454,331656889,,,296
33,LOT,0.369995409,27562,879000,,-78.89296,35.62668,336860447,,,305
34,SINGLE_FAMILY,0.14,27597,400000,3,-78.32762,35.846954,336860671,3,2300,306
35,LOT,1.769995409,27587,781000,,-78.40052,35.93462,336860835,,,1
36,LOT,0.209986226,27540,721500,,-78.884834,35.65168,336866248,,,2
37,SINGLE_FAMILY,0.029981635,27545,392000,3,-78.50116,35.794865,336866526,3,2311,3
38,LOT,0.069995409,27616,590500,,-78.53535,35.847565,336867807,,,31
39,LOT,0.05,27560,468000,,-78.830925,35.83173,336868020,,,32
0,SINGLE_FAMILY,0.15,27616,441000,3,-78.546776,35.887524,60538281,3,2294,33
1,SINGLE_FAMILY,0.71,27571,440000,4,-78.4576,35.93771,60539029,3,2538,34
2,SINGLE_FAMILY,2.25,27603,350000,3,-78.68856,35.68883,6376784,3,1539,35
3,SINGLE_FAMILY,0.469995409,27529,280000,,-78.61738,35.72977,6379619,2,1408,36
4,LOT,0.38,27529,164500,,-78.62319,35.716484,6379831,,,37
5,SINGLE_FAMILY,0.28,27529,265000,3,-78.61351,35.709263,6384076,1,1007,38
6,SINGLE_FAMILY,0.41,27529,170000,2,-78.622856,35.71999,6387470,1,1200,39
7,SINGLE_FAMILY,0.2,27603,312000,2,-78.64154,35.74563,6406616,1,835,40
8,SINGLE_FAMILY,0.56,27612,660000,4,-78.6999,35.860535,6408670,4,3010,41
9,SINGLE_FAMILY,0.21,27610,300000,2,-78.61032,35.790524,6412926,1,937,42
10,LOT,1.3,27529,75000,,-78.57956,35.73617,6414181,,,43
11,SINGLE_FAMILY,0.3,27609,845000,3,-78.65138,35.845963,6424861,2,2312,44
12,LOT,147.26,27587,32740000,,-78.49403,36.00179,6431615,,,45
13,SINGLE_FAMILY,0.17,27591,230000,3,-78.37135,35.78824,6432989,1,960,46
14,SINGLE_FAMILY,0.81,27609,1300000,3,-78.64728,35.816917,6447070,3,3001,47
15,MANUFACTURED,0.46,27526,105000,3,-78.725685,35.61829,6458148,2,1188,162
16,LOT,0.46,27529,177000,,-78.62334,35.716698,6463820,,,163
17,SINGLE_FAMILY,0.88,27615,975000,5,-78.66447,35.903847,6468487,4,4100,164
18,SINGLE_FAMILY,0.29,27615,835000,6,-78.63924,35.889202,6468806,4,3693,165
19,TOWNHOUSE,0.03,27615,265000,2,-78.64353,35.887417,6471507,2,1277,212
