,Store Name,Street Address,City,Postcode,Longitude,Latitude
222,Western & Gateway,"1654 Western Boulevard, Lot 2, Jacksonville Mall",Jacksonville,28546,-77.4,34.79
223,Jacksonville,370 Western Boulevard,Jacksonville,28546,-77.38,34.76
224,Furnitureland South,5635 Riverdale Dr,Jamestown,27282,-79.93,35.97
225,Target Kernersville T-2134,1024 S Main St,Kernersville,27284,-80.1,36.11
226,1020 S. Main Street,"1020 S. Main Street, 1A",Kernersville,27284,-80.1,36.11
227,Harris Teeter-Kernersville #250,971 S Main St,Kernersville,27284,-80.09,36.11
228,Harris Teeter Kill Devils Hills # 1,2012 South Croatan Highway,Kill Devil Hills,27948,-75.65,35.99
229,Ingles Kings Mountain # 147,"2111 Shelby Rd, Marketplace at Southern Shores",Kings Mountain,28086,-81.4,35.24
230,Kitty Hawk,5597-A North Croatan Highway,Kitty Hawk,27949,-75.72,36.1
231,Target Knightdale T-2111,1000 Shoppes at Midway Dr,Knightdale,27545,-78.5,35.79
232,Knightdale,212 Hinton Oaks Boulevard,Knightdale,27545,-78.51,35.8
233,Harris Teeter - Leland #225,2021 Olde Regent Way,Leland,28451,-78.02,34.22
234,Ingles Lincolnton #148,2130 E Main St,Lincolnton,28092,-81.22,35.48
235,I-95 & Fayetteville Rd - Lumberton,5084 Kahn Drive,Lumberton,28358,-79.01,34.67
236,Target Charlotte SE T-918,1900 Matthews Township Pkwy,Matthews,28105,-80.71,35.12
237,Harris Teeter-Matthews #157,1811 Matthews Township Pkwy,Matthews,28105,-80.71,35.12
238,Harris Teeter - Matthews #343,13639 Providence Rd,Matthews,28104,-80.76,35.02
239,Sycamore Commons,"2233 Matthews Township Parkway, Suite A",Matthews,28105,-80.7,35.13
240,Mebane Oaks Rd & I-85,3890 Brundage Lane,Mebane,27302,-79.27,36.07
241,Ingles Mills River # 133,3338 Boylston Hwy,Mills River,28759,-82.57,35.4
242,Harris Teeter Mint Hill # 474,7036 Brighton Park Dr,Mint Hill,28227,-80.66,35.17
243,Hwy 74 & Windmere - Monroe,2937 Monroe Way,Monroe,28110,-80.58,35.02
244,Target Monroe  T-2074,2901 W Hwy 74,Monroe,28110,-80.58,35.02
245,Harris Teeter - Mooresville #274,"118 Argus Lane, Mount Mourne Springs",Mooresville,28117,-80.9,35.6
