,Street Address,City,Longitude,Latitude
233,2021 Olde Regent Way,Leland,-78.02,34.22
234,2130 E Main St,Lincolnton,-81.22,35.48
235,5084 Kahn Drive,Lumberton,-79.01,34.67
236,1900 Matthews Township Pkwy,Matthews,-80.71,35.12
237,1811 Matthews Township Pkwy,Matthews,-80.71,35.12
238,13639 Providence Rd,Matthews,-80.76,35.02
239,"2233 Matthews Township Parkway, Suite A",Matthews,-80.7,35.13
240,3890 Brundage Lane,Mebane,-79.27,36.07
241,3338 Boylston Hwy,Mills River,-82.57,35.4
242,7036 Brighton Park Dr,Mint Hill,-80.66,35.17
243,2937 Monroe Way,Monroe,-80.58,35.02
244,2901 W Hwy 74,Monroe,-80.58,35.02
245,"118 Argus Lane, Mount Mourne Springs",Mooresville,-80.9,35.6
246,235 Medical Park Road,Mooresville,-80.85,35.55
247,134 Town Center Drive,Mooresville,-80.88,35.59
248,"489 River Hwy, Suite A",Mooresville,-80.86,35.59
249,"594 River Hwy, Crystal Coast Plaza",Mooresville,-80.87,35.6
250,"5186 Hwy 70, Unit A",Morehead City,-76.81,34.74
251,114 Carbon City Rd,Morganton,-81.71,35.74
252,"3001 Market Center Dr, A",Morrisville,-78.82,35.81
253,"3037 Village Market Place, 190, 919-",Morrisville,-78.82,35.81
254,"2400 John Brantley Blvd, Davis Commons",Morrisville,-78.8,35.87
255,3608-400 Davis Drive,Morrisville,-78.85,35.82
256,4093 Davis Drive,Morrisville,-78.86,35.84
257,2400 John Brantley Blvd,Morrisville,-78.79,35.87
258,2400 W Terminal Blvd,Morrisville,-78.8,35.87
259,2060 Hwy 19,Murphy,-84.01,35.11
260,777 Casino Parkway,Murphy,-83.99,35.12
261,3410 Dr Martin Luther King Blvd,New Bern,-77.1,35.1
262,3182 Martin Luther King Jr Blvd,New Bern,-77.09,35.1
263,2019 S Glenburnie Road,New Bern,-77.1,35.1
264,"Hwy. 70 & Thurmann St., Northlake Mall",New Bern,-77,35.01
265,"6801 Northlake Mall Drive, Space K101",North Charlotte,-80.85,35.35
266,1 University Rd,Pembroke,-79.2,34.69
267,"305 Ivey Ln, Carolina Place",Pinehurst,-79.48,35.21
268,"11025 Carolina Place Pkwy, #A-21, Carolina Place Mall",Pineville,-80.88,35.08
269,"11025 Carolina Place Parkway, A-140",Pineville,-80.88,35.08
270,"7498 Creedmor Road, Crabtree Valley Mall",Raleigh,-78.68,35.89
271,"4325 Glenwood Ave., #1068",Raleigh,-78.68,35.84
272,5100 Capital Blvd,Raleigh,-78.58,35.86
273,"500 Fayetteville St. Mall, Triangle Town Center",Raleigh,-78.64,35.77
274,"5959 Triangle Town Boulevard, Unit CL1136",Raleigh,-78.58,35.87
275,609 W Peace St,Raleigh,-78.65,35.79
276,"6176 Falls of Neuse Road, LL01A, Falls Pointe Shopping Center",Raleigh,-78.62,35.87
277,"9630 Falls of the Neuse Road, 101, North Hills Plaza",Raleigh,-78.6,35.9
278,"4421 Six Forks Road, 116, Cameron Village Shopping Center",Raleigh,-78.64,35.84
279,500 Oberlin Road,Raleigh,-78.66,35.79
280,"2051 W Millbrook Rd, North Hills Mall",Raleigh,-78.68,35.86
281,"4160 Main Street, Suite 105",Raleigh,-78.64,35.84
282,4191 The Circle at N Hills St.,Raleigh,-78.64,35.84
283,3101-305 Edwards Mill Road,Raleigh,-78.71,35.83
284,1025 Airside Dr,Raleigh,-78.79,35.86
285,"6282 Glenwood Avenue, Alexander Place",Raleigh,-78.7,35.86
286,"7854 Alexander Promenade Pl., Bldg. H, Ste. 1, Lake Boone Shopping Center",Raleigh,-78.78,35.91
287,3800 Lake Boone Trail,Raleigh,-78.69,35.82
288,7900 Old Wake Forest Rd,Raleigh,-78.57,35.87
289,1610 Cates Ave,Raleigh,-78.67,35.78
290,"1025 Airside Dr, Triangle Town Center",Raleigh,-78.79,35.88
291,"5959 Triangle Town Blvd., #2080",Raleigh,-78.58,35.87
292,"10760 Wakefield Commons Dr., Ste. 109, New Bern Commons",Raleigh,-78.54,35.94
293,4421 New Bern Avenue,Raleigh,-78.56,35.8
294,"4325 Glenwood Avenue, 2119",Raleigh,-78.68,35.84
295,"9441 Strickland Road, Unit R06, Capital Boulevard Shoppes",Raleigh,-78.65,35.9
296,"3023 Capital Blvd., Premier Landing Shopping Center",Raleigh,-78.59,35.82
297,298 Premier Blvd.,Roanoke Rapids,-77.63,36.42
298,"731 Sutters Creek Blvd, Towne Creek Commons",Rocky Mount,-77.81,35.97
299,916 East Innes Street,Salisbury,-80.46,35.66
300,2905 Horner Boulevard,Sanford,-79.14,35.45
301,1650 W Dixon Blvd,Shelby,-81.57,35.29
302,"110 S. Equity Drive, Statesville",Smithfield,-78.32,35.51
303,1501 East Broad Street,Statesville,-80.86,35.79
304,2299 US Hwy 70,Swannanoa,-82.42,35.6
305,3638 Rogers Rd,Wake Forest,-78.5,35.94
306,12000 Retail Dr,Wake Forest,-78.54,35.97
307,"9700 Rea Rd, Ste A",Waxhaw,-80.8,35.02
308,8157 Kesington Drive,Waxhaw,-80.76,34.95
309,201 Barber Blvd,Waynesville,-82.99,35.5
310,140 Weaver Blvd,Weaverville,-82.57,35.7
311,"6350 Weddington Monroe Rd, Independence Mall",Wesley Chapel,-80.7,35
312,3502 Oleander Drive,Wilmington,-77.91,34.22
313,2800 S College Rd,Wilmington,-77.89,34.2
314,"820 S College Rd, Landfall Shopping Center",Wilmington,-77.88,34.22
315,"1705 Eastwood Rd, Ste 5E2",Wilmington,-77.83,34.23
316,1940 Eastwood Rd,Wilmington,-77.82,34.22
317,6805 Parker Farm Rd,Wilmington,-77.83,34.24
