"rowcount","propertytype","lotareavalue","address","price","bedrooms","longitude","latitude","zpid","bathrooms","livingarea"
30,"SINGLE_FAMILY",0.18,27610,361000,3,-78.58612,35.738937,71205682,3,1627
32,"SINGLE_FAMILY",0.16,27614,475000,4,-78.556145,35.966125,81436757,3,2538
33,"SINGLE_FAMILY",0.19,27587,485000,4,-78.47414,35.963066,82672052,3,2659
33,"SINGLE_FAMILY",0.19,27587,485000,4,-78.47414,35.963066,82672052,3,2659
35,"SINGLE_FAMILY",0.16,27526,383000,3,-78.76697,35.612476,89495175,3,1589
36,"SINGLE_FAMILY",0.27998163452709,27545,504500,4,-78.462326,35.745316,98376957,3,3082
36,"SINGLE_FAMILY",0.27998163452709,27545,504500,4,-78.462326,35.745316,98376957,3,3082
37,"SINGLE_FAMILY",0.73,27529,435500,3,-78.58959,35.611523,111377267,2,2194
37,"SINGLE_FAMILY",0.73,27529,435500,3,-78.58959,35.611523,111377267,2,2194
37,"SINGLE_FAMILY",0.73,27529,435500,3,-78.58959,35.611523,111377267,2,2194
38,"SINGLE_FAMILY",0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391
38,"SINGLE_FAMILY",0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391
38,"SINGLE_FAMILY",0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391
38,"SINGLE_FAMILY",0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391
38,"SINGLE_FAMILY",0.82,27612,2350000,5,-78.697914,35.837128,119340745,6,5391
39,"SINGLE_FAMILY",0.21000000000000002,27526,650000,5,-78.81901,35.595177,122279447,4,3377
2,"LOT",0.28999081726354,27523,853500,NULL,-78.93208,35.781693,336869460,NULL,NULL
3,"SINGLE_FAMILY",1.17,27587,640000,4,-78.52806,35.993706,50102541,4,3007
3,"SINGLE_FAMILY",1.17,27587,640000,4,-78.52806,35.993706,50102541,4,3007
4,"SINGLE_FAMILY",0.34,27604,1082500,3,-78.54321,35.80759,50103150,3,1375
5,"SINGLE_FAMILY",0.13,27604,380000,3,-78.54264,35.807205,50103151,3,1641
6,"SINGLE_FAMILY",0.1,27604,310500,2,-78.57105,35.803055,50106732,2,912
7,"SINGLE_FAMILY",0.18,27502,415000,3,-78.90995,35.72179,50110256,2,1825
7,"SINGLE_FAMILY",0.18,27502,415000,3,-78.90995,35.72179,50110256,2,1825
8,"SINGLE_FAMILY",0.2,27614,539900,3,-78.588905,35.91295,50111644,3,2274
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
9,"SINGLE_FAMILY",0.40998622589532,27519,654000,4,-78.866684,35.794407,50112514,3,3300
10,"SINGLE_FAMILY",0.1099862258953168,27604,254500,NULL,-78.543526,35.81246,50115261,2.5,1224
12,"TOWNHOUSE",0.04,27613,365000,3,-78.73467,35.900005,50116161,3,1600
13,"SINGLE_FAMILY",0.3,27614,675000,4,-78.56358,35.945236,50118842,3,2716
14,"SINGLE_FAMILY",0.92,27614,635000,4,-78.68302,35.977757,50122261,3,2807
15,"SINGLE_FAMILY",0.69,27616,493800,3,-78.49397,35.834538,53459031,3,2644
15,"SINGLE_FAMILY",0.69,27616,493800,3,-78.49397,35.834538,53459031,3,2644
15,"SINGLE_FAMILY",0.69,27616,493800,3,-78.49397,35.834538,53459031,3,2644
15,"SINGLE_FAMILY",0.69,27616,493800,3,-78.49397,35.834538,53459031,3,2644
16,"TOWNHOUSE",0.04,27615,300000,2,-78.570854,35.89487,53459688,3,1389
16,"TOWNHOUSE",0.04,27615,300000,2,-78.570854,35.89487,53459688,3,1389
17,"SINGLE_FAMILY",0.61,27526,470000,4,-78.77072,35.6089,53462377,4,2817
18,"SINGLE_FAMILY",0.36,27540,880000,4,-78.818436,35.66106,60393315,3,3267
18,"SINGLE_FAMILY",0.36,27540,880000,4,-78.818436,35.66106,60393315,3,3267
18,"SINGLE_FAMILY",0.36,27540,880000,4,-78.818436,35.66106,60393315,3,3267
19,"TOWNHOUSE",0.02,27502,332500,3,-78.87337,35.74304,60394059,3,1460
19,"TOWNHOUSE",0.02,27502,332500,3,-78.87337,35.74304,60394059,3,1460
20,"TOWNHOUSE",0.081,27587,354000,3,-78.525024,35.99934,60399389,3,2111
20,"TOWNHOUSE",0.081,27587,354000,3,-78.525024,35.99934,60399389,3,2111
22,"SINGLE_FAMILY",0.39,27616,350500,4,-78.56616,35.839344,60536955,3,1728
22,"SINGLE_FAMILY",0.39,27616,350500,4,-78.56616,35.839344,60536955,3,1728
22,"SINGLE_FAMILY",0.39,27616,350500,4,-78.56616,35.839344,60536955,3,1728
22,"SINGLE_FAMILY",0.39,27616,350500,4,-78.56616,35.839344,60536955,3,1728
23,"SINGLE_FAMILY",0.65,27609,686500,4,-78.61833,35.856373,6382982,3,2503
23,"SINGLE_FAMILY",0.65,27609,686500,4,-78.61833,35.856373,6382982,3,2503
23,"SINGLE_FAMILY",0.65,27609,686500,4,-78.61833,35.856373,6382982,3,2503
23,"SINGLE_FAMILY",0.65,27609,686500,4,-78.61833,35.856373,6382982,3,2503
24,"SINGLE_FAMILY",1,27587,339000,3,-78.69801,36.05655,6408058,3,1694
24,"SINGLE_FAMILY",1,27587,339000,3,-78.69801,36.05655,6408058,3,1694
25,"SINGLE_FAMILY",0.28,27609,495000,3,-78.61649,35.86317,6416636,2,2258
25,"SINGLE_FAMILY",0.28,27609,495000,3,-78.61649,35.86317,6416636,2,2258
25,"SINGLE_FAMILY",0.28,27609,495000,3,-78.61649,35.86317,6416636,2,2258
25,"SINGLE_FAMILY",0.28,27609,495000,3,-78.61649,35.86317,6416636,2,2258
26,"SINGLE_FAMILY",0.21000000000000002,27610,300000,2,-78.60835,35.78965,6417877,1,1037
27,"SINGLE_FAMILY",0.46,27609,925000,4,-78.62263,35.856987,6419381,4,3052
27,"SINGLE_FAMILY",0.46,27609,925000,4,-78.62263,35.856987,6419381,4,3052
27,"SINGLE_FAMILY",0.46,27609,925000,4,-78.62263,35.856987,6419381,4,3052
